id,title,identifier,identifier2
26014,Shining Hot 5 Jackpot Play,pragmaticexternal:ShiningHot5JackpotPlay,""
26015,Starlight Princess Jackpot Play,pragmaticexternal:StarlightPrincessJackpotPlay,""
26016,Striking Hot 5 Jackpot Play,pragmaticexternal:StrikingHot5JackpotPlay,""
26017,Sugar Rush Jackpot Play,pragmaticexternal:SugarRushJackpotPlay,""
26018,Sweet Bonanza Jackpot Play,pragmaticexternal:SweetBonanzaJackpotPlay,""
26019,The Dog House Jackpot,pragmaticexternal:TheDogHouseJackpot,""
26020,The Dog House Jackpot Play,pragmaticexternal:TheDogHouseJackpotPlay,""
26084,Jewel Rush,pragmaticexternal:JewelRush,""
26115,Zeus vs Hades - Gods of War,pragmaticexternal:ZeusvsHadesGodsofWar,""
26166,Sticky Bees,pragmaticexternal:StickyBees,""
26288,Big Bass Amazon Xtreme,pragmaticexternal:BigBassAmazonXtreme,""
26293,Pirates Pub,pragmaticexternal:PiratesPub,""
